User_ID,Age,Skin_Type,Skin_Tone,Climate,Diet,Hormonal_Status,Budget_Level,Acne_Severity,Dryness_Severity,Pigmentation_Severity,Aging_Severity,Sensitivity_Severity,image_id,gender,match_score
0,43,Sensitive,Medium,summer,Vegan,Pregnant,High,0,0,0,2.4,6.336962023,,,
2,22,Dry,Medium,summer,High_Dairy,Pregnant,High,0,8.522341557,0,0,0,,,
10614,38,Sensitive,Deep,Temperate,Balanced,PCOS,Medium,0,0,3.503687507,0.9,7.998287546,,,
3981,25,Sensitive,Medium,Temperate,Junk_Food,PCOS,High,2.413655605,0,0,0,7.998126064,,,
1663,22,Sensitive,Fair,winter,High_Sugar,Stable,Medium,3.677175704,3.346893732,0,0,7.997310625,,,
14468,27,Sensitive,Medium,Temperate,High_Dairy,PCOS,Medium,0,0,0,0,7.997075411,,,
9634,37,Sensitive,Fair,Temperate,Balanced,Stable,Low,0,0,0,0.6,7.996042834,,,
13544,19,Sensitive,Deep,winter,Balanced,Stable,Medium,0,2.883763916,4.863449049,0,7.995758044,,,
11676,39,Sensitive,Medium,Temperate,Junk_Food,PCOS,High,3.950871737,0,0,1.2,7.995006086,,,
3,35,Dry,Medium,summer,Balanced,Stable,Low,0,7.44808518,0,0,0,,,
9,38,Oily,Deep,summer,Vegan,Teen,High,10,0,5.528174393,0.9,0,,,
10,17,Dry,Medium,summer,High_Dairy,Pregnant,High,0,6.712360372,0,0,0,,,
11122,43,Sensitive,Dusky,winter,Vegan,Pregnant,Low,0,3.798516435,3.353276207,2.4,7.99049806,,,
7600,30,Sensitive,Very_Fair,Temperate,Junk_Food,Pregnant,Low,2.417888685,0,0,0,7.988641227,,,
1165,48,Sensitive,Very_Fair,Dry,Vegan,Pregnant,Medium,0,0,0,3.9,7.986900766,,,
2699,34,Sensitive,Dusky,Dry,Junk_Food,PCOS,Low,3.876347357,0,5.040354908,0,7.98562344,,,
14843,15,Sensitive,Fair,Dry,High_Dairy,Pregnant,Low,0,0,0,0,7.985083678,,,
10930,33,Sensitive,Fair,Dry,High_Dairy,PCOS,Medium,0,0,0,0,7.98398418,,,
9637,49,Sensitive,Fair,winter,High_Dairy,Pregnant,Low,0,3.320360523,0,4.2,7.9835293,,,
11,36,Dry,Medium,summer,High_Sugar,PCOS,High,2.193313993,7.90728291,0,0.3,0,,,
13688,33,Sensitive,Medium,Dry,Vegan,Stable,Medium,0,0,0,0,7.981156949,,,
20,39,Oily,Fair,summer,High_Sugar,PCOS,Low,8.71737456,0,0,1.2,0,,,
1,29,Sensitive,Deep,winter,Vegan,Teen,High,4.545657342,3.589759708,4.333578091,0,7.976537392,,,
13728,18,Sensitive,Very_Fair,Dry,High_Dairy,Teen,Medium,3.616696751,0,0,0,7.975775155,,,
24,29,Oily,Very_Fair,summer,Vegan,Stable,Low,7.082904294,0,0,0,0,,,
5923,43,Sensitive,Medium,winter,High_Dairy,PCOS,High,0,2.331824117,0,2.4,7.975122599,,,
678,37,Sensitive,Medium,winter,Vegan,PCOS,Low,0,2.850001164,0,0.6,7.972584365,,,
4645,40,Sensitive,Fair,Dry,Junk_Food,Stable,Low,3.568341358,0,0,1.5,7.972539299,,,
8997,24,Sensitive,Very_Fair,winter,Junk_Food,Pregnant,Medium,3.439232283,2.057779937,0,0,7.971688122,,,
25,17,Combination,Dusky,summer,Balanced,Pregnant,Medium,0,0,3.770679685,0,0,,,
6507,47,Sensitive,Very_Fair,Dry,Balanced,Stable,High,0,0,0,3.6,7.971016984,,,
28,23,Oily,Deep,summer,Balanced,PCOS,Medium,6.888565149,0,5.293700259,0,0,,,
14926,35,Sensitive,Very_Fair,winter,Vegan,Teen,High,4.596029266,3.920940624,0,0,7.969960956,,,
11513,49,Sensitive,Fair,winter,High_Dairy,Stable,Medium,0,3.550082521,0,4.2,7.969843247,,,
2715,28,Sensitive,Medium,winter,Balanced,PCOS,High,0,3.715452071,0,0,7.968621446,,,
81,42,Sensitive,Fair,winter,Junk_Food,Stable,High,3.205142467,2.272771487,0,2.1,7.964146094,,,
12041,29,Sensitive,Fair,winter,Balanced,Pregnant,Medium,0,3.206611408,0,0,7.963800588,,,
7062,38,Sensitive,Deep,Temperate,High_Dairy,Pregnant,Medium,0,0,3.173575252,0.9,7.962140586,,,
35,16,Combination,Very_Fair,summer,Vegan,PCOS,Low,0,0,0,0,0,,,
6553,26,Sensitive,Medium,Dry,Junk_Food,Pregnant,High,3.862974043,0,0,0,7.961619736,,,
3763,33,Sensitive,Deep,Temperate,Junk_Food,Teen,High,6.846451331,0,5.518230707,0,7.960782898,,,
8932,24,Sensitive,Medium,Dry,Balanced,Teen,Low,3.236502296,0,0,0,7.960695043,,,
41,28,Normal,Medium,summer,Vegan,PCOS,High,0,0,0,0,0,,,
6886,23,Sensitive,Dusky,Temperate,Balanced,Stable,High,0,0,5.082269539,0,7.958338918,,,
10660,32,Sensitive,Very_Fair,Temperate,Vegan,Pregnant,Low,0,0,0,0,7.95808454,,,
7396,29,Sensitive,Dusky,Dry,Junk_Food,PCOS,Medium,2.372319188,0,3.593233523,0,7.954198746,,,
11530,15,Sensitive,Dusky,Dry,High_Sugar,Pregnant,Low,3.713727935,0,5.793481095,0,7.952061287,,,
3834,25,Sensitive,Dusky,winter,High_Dairy,PCOS,Medium,0,3.629234032,3.757750622,0,7.951794218,,,
12591,37,Sensitive,Deep,winter,Balanced,PCOS,Low,0,2.230249958,4.084639513,0.6,7.950579809,,,
1901,21,Sensitive,Dusky,Temperate,Balanced,Teen,High,4.050084035,0,4.622509941,0,7.949623078,,,
265,46,Sensitive,Medium,Dry,Vegan,PCOS,Medium,0,0,0,3.3,7.949138283,,,
14634,19,Sensitive,Fair,Temperate,High_Sugar,Teen,Low,7.945035086,0,0,0,7.948601923,,,
45,20,Oily,Dusky,summer,High_Sugar,PCOS,Medium,10,0,3.298359708,0,0,,,
46,18,Oily,Medium,summer,High_Sugar,Pregnant,Low,10,0,0,0,0,,,
7603,46,Sensitive,Dusky,Temperate,High_Dairy,PCOS,Medium,0,0,3.249398134,3.3,7.945849145,,,
47,43,Sensitive,Dusky,summer,Balanced,Pregnant,High,0,0,3.552527472,2.4,5.449842542,,,
60,32,Sensitive,Dusky,summer,Vegan,Pregnant,Low,0,0,4.953670959,0,6.418570171,,,
63,39,Normal,Very_Fair,summer,High_Sugar,PCOS,Low,8.315,5.637,2.525,1.943,0,H0_206351_P1_L1,,0.885599971
996,37,Sensitive,Medium,Dry,Vegan,Stable,High,0,0,0,0.6,7.940290096,,,
65,29,Sensitive,Deep,summer,Junk_Food,Teen,High,5.530210065,0,5.744768992,0,7.226168369,,,
192,45,Sensitive,Deep,winter,Balanced,Pregnant,Low,0,3.497779631,4.595353909,3,7.938200706,,,
609,31,Sensitive,Fair,Dry,High_Sugar,Pregnant,Medium,3.519740286,0,0,0,7.938056685,,,
14572,17,Sensitive,Very_Fair,Dry,Vegan,Pregnant,High,0,0,0,0,7.937453119,,,
6673,44,Sensitive,Dusky,Temperate,Balanced,Teen,High,2.680537363,0,4.049866658,2.7,7.937159493,,,
68,21,Dry,Dusky,summer,High_Dairy,Stable,High,0,7.024508159,3.957145661,0,0,,,
69,23,Dry,Very_Fair,summer,Vegan,PCOS,Medium,0,8.519973183,0,0,0,,,
76,22,Dry,Fair,summer,Balanced,PCOS,Medium,0,7.989316501,0,0,0,,,
2798,28,Sensitive,Deep,Temperate,High_Sugar,Pregnant,Low,3.685309303,0,4.310728623,0,7.935228035,,,
3788,16,Sensitive,Fair,Dry,Balanced,Teen,High,4.777443446,0,0,0,7.935211288,,,
9162,35,Sensitive,Dusky,Dry,Balanced,Stable,High,0,0,4.750247424,0,7.935058951,,,
13247,27,Sensitive,Very_Fair,winter,High_Dairy,Pregnant,Medium,0,3.984345655,0,0,7.934903114,,,
11595,45,Sensitive,Dusky,winter,High_Dairy,Pregnant,High,0,2.903295778,3.744974706,3,7.934371285,,,
3342,34,Sensitive,Fair,Temperate,Balanced,PCOS,Medium,0,0,0,0,7.932379225,,,
8692,37,Sensitive,Deep,winter,Junk_Food,Pregnant,Low,2.918821055,3.205185195,5.408313579,0.6,7.930812466,,,
14723,19,Sensitive,Dusky,winter,Balanced,Pregnant,Low,0,2.209681527,5.017795817,0,7.930427924,,,
10491,27,Sensitive,Fair,Dry,Junk_Food,Pregnant,Low,2.324352182,0,0,0,7.929158405,,,
12684,22,Sensitive,Fair,winter,High_Sugar,PCOS,Low,3.637096569,2.87482234,0,0,7.929109725,,,
79,47,Combination,Fair,summer,High_Dairy,PCOS,High,0,0,0,3.6,0,,,
8145,37,Sensitive,Fair,winter,High_Sugar,PCOS,Medium,2.433887165,2.03690085,0,0.6,7.926813621,,,
14923,26,Sensitive,Deep,Temperate,High_Sugar,Pregnant,High,3.248070857,0,3.381670569,0,7.925209515,,,
11713,29,Sensitive,Deep,Dry,Balanced,PCOS,Medium,0,0,5.44158588,0,7.924305336,,,
80,19,Dry,Very_Fair,summer,Vegan,Teen,High,2.955491782,8.123000892,0,0,0,,,
11640,39,Sensitive,Dusky,Dry,Junk_Food,PCOS,Medium,3.617827418,0,3.320388866,1.2,7.92340187,,,
4432,48,Sensitive,Very_Fair,Temperate,Vegan,Pregnant,Medium,0,0,0,3.9,7.922961436,,,
2734,30,Sensitive,Very_Fair,winter,Junk_Food,Pregnant,Low,3.97673478,3.538487734,0,0,7.922375617,,,
14153,39,Sensitive,Medium,Dry,High_Dairy,PCOS,Low,0,0,0,1.2,7.922230831,,,
6617,40,Sensitive,Dusky,Dry,Balanced,Stable,High,0,0,4.388260576,1.5,7.922050841,,,
247,42,Sensitive,Dusky,winter,Balanced,Teen,Medium,3.251372278,2.667277442,5.883693202,2.1,7.921682694,,,
7785,26,Sensitive,Medium,Temperate,Vegan,Teen,High,3.571064649,0,0,0,7.91985633,,,
1094,40,Sensitive,Fair,winter,Balanced,Pregnant,High,0,3.457178617,0,1.5,7.919158853,,,
11465,42,Sensitive,Deep,Temperate,High_Dairy,PCOS,Low,0,0,5.233518575,2.1,7.91885933,,,
84,22,Oily,Deep,summer,Junk_Food,PCOS,High,10,0,4.66544218,0,0,,,
3055,32,Sensitive,Medium,Temperate,High_Dairy,Pregnant,Low,0,0,0,0,7.916338349,,,
5761,27,Sensitive,Very_Fair,winter,High_Sugar,Stable,Medium,2.356178252,3.675081989,0,0,7.913573749,,,
43,18,Sensitive,Deep,winter,Vegan,Pregnant,Low,0,3.36479686,4.22828857,0,7.909116473,,,
85,26,Dry,Deep,summer,Junk_Food,Teen,Low,7.181303066,7.436027116,4.700733594,0,0,,,
8998,40,Sensitive,Very_Fair,Temperate,Balanced,Teen,High,4.15511612,0,0,1.5,7.90832952,,,
88,37,Dry,Very_Fair,summer,Vegan,Teen,High,3.582509826,7.383874788,0,0.6,0,,,
5147,20,Sensitive,Fair,Temperate,Junk_Food,Teen,Medium,6.516198904,0,0,0,7.907317552,,,
1944,35,Sensitive,Fair,Temperate,High_Dairy,Pregnant,Medium,0,0,0,0,7.907232928,,,
2022,32,Sensitive,Dusky,winter,Vegan,PCOS,Low,0,2.787318172,3.321787549,0,7.906330947,,,
2917,42,Sensitive,Fair,Temperate,Vegan,PCOS,High,0,0,0,2.1,7.906208052,,,
540,24,Sensitive,Dusky,winter,High_Sugar,PCOS,Low,3.887131113,3.241594991,5.650098338,0,7.905217753,,,
94,15,Oily,Dusky,summer,Junk_Food,Stable,High,10,0,3.16710914,0,0,,,
1520,34,Sensitive,Very_Fair,Temperate,Vegan,PCOS,Medium,0,0,0,0,7.904543443,,,
95,49,Normal,Dusky,summer,High_Sugar,PCOS,Low,9.986,6.005,4.869,2.545,0,Z4_89664_P0_L0,,0.878799975
10566,24,Sensitive,Dusky,Temperate,Vegan,Teen,Medium,2.245815839,0,3.683953703,0,7.904207709,,,
99,19,Normal,Very_Fair,summer,High_Dairy,Teen,Medium,8.922,6.093,3.041,1.767,0,H1_384416_P3_L0,,0.845300019
9691,48,Sensitive,Very_Fair,Temperate,Vegan,PCOS,Medium,0,0,0,3.9,7.902155142,,,
110,18,Combination,Very_Fair,summer,High_Dairy,Stable,Medium,0,0,0,0,0,,,
2049,36,Sensitive,Deep,Dry,Vegan,Pregnant,Medium,0,0,3.112523599,0.3,7.900737348,,,
4922,20,Sensitive,Medium,Temperate,Vegan,PCOS,High,0,0,0,0,7.900089158,,,
11807,24,Sensitive,Dusky,Temperate,Balanced,PCOS,Medium,0,0,3.279964946,0,7.900038002,,,
499,49,Sensitive,Deep,Dry,Junk_Food,Pregnant,Low,2.556561487,0,4.228926778,4.2,7.898727906,,,
9147,30,Sensitive,Very_Fair,winter,High_Sugar,Pregnant,Medium,2.550413842,2.424948219,0,0,7.896337913,,,
12261,25,Sensitive,Deep,winter,High_Sugar,Stable,Medium,2.128131108,3.93821138,3.025653043,0,7.894776638,,,
11584,36,Sensitive,Medium,winter,Balanced,Pregnant,High,0,3.156704698,0,0.3,7.894277448,,,
112,37,Dry,Very_Fair,summer,High_Dairy,Pregnant,High,0,6.123543828,0,0.6,0,,,
11198,41,Sensitive,Dusky,Temperate,High_Sugar,Pregnant,High,2.073974903,0,4.367771326,1.8,7.892665297,,,
113,29,Dry,Deep,summer,Vegan,Stable,High,0,6.140911115,5.624472865,0,0,,,
4459,38,Sensitive,Dusky,Temperate,Balanced,PCOS,High,0,0,4.391714022,0.9,7.890616486,,,
11553,23,Sensitive,Very_Fair,Dry,Vegan,Teen,High,2.744116434,0,0,0,7.888845215,,,
6620,21,Sensitive,Deep,Dry,Balanced,Teen,High,2.665508303,0,5.054252331,0,7.887164928,,,
13817,17,Sensitive,Dusky,winter,High_Sugar,Pregnant,Low,3.897073477,3.898972882,3.026078429,0,7.886672339,,,
118,36,Sensitive,Medium,summer,Junk_Food,PCOS,Medium,3.756456892,0,0,0.3,6.811329649,,,
11087,42,Sensitive,Medium,winter,Vegan,Stable,High,0,3.067576685,0,2.1,7.882177986,,,
123,42,Oily,Deep,summer,Balanced,Teen,Low,10,0,3.867403428,2.1,0,,,
6328,27,Sensitive,Fair,Temperate,Junk_Food,PCOS,Low,3.726457042,0,0,0,7.879494531,,,
14062,18,Sensitive,Medium,winter,Balanced,PCOS,Medium,0,2.370869588,0,0,7.877474126,,,
224,30,Sensitive,Dusky,Temperate,Balanced,Teen,Medium,3.910208027,0,5.861848466,0,7.876406944,,,
125,44,Normal,Dusky,summer,High_Sugar,PCOS,High,9.967,5.938,4.714,2.427,0,Z4_89861_P0_L0,,0.886699975
637,41,Sensitive,Medium,winter,High_Sugar,Pregnant,High,3.154668002,2.312419313,0,1.8,7.876104467,,,
545,32,Sensitive,Very_Fair,Dry,High_Sugar,Teen,High,6.292700972,0,0,0,7.874595928,,,
951,47,Sensitive,Very_Fair,Dry,High_Sugar,Pregnant,High,2.178403153,0,0,3.6,7.87437734,,,
7752,27,Sensitive,Dusky,Temperate,Junk_Food,Stable,High,2.545402693,0,5.861617532,0,7.874184772,,,
9152,20,Sensitive,Deep,Dry,High_Dairy,Teen,Medium,4.926693253,0,3.522326324,0,7.873580502,,,
126,25,Oily,Dusky,summer,High_Dairy,Pregnant,Medium,5.855374438,0,4.333439344,0,0,,,
134,20,Normal,Dusky,summer,High_Sugar,PCOS,Medium,9.99,6.099,4.673,2.321,0,Z4_91326_P0_L0,,0.84920001
10098,49,Sensitive,Deep,Temperate,Junk_Food,PCOS,Low,2.591946233,0,3.596777393,4.2,7.870029181,,,
11936,39,Sensitive,Very_Fair,Temperate,Vegan,Stable,High,0,0,0,1.2,7.869554483,,,
1074,45,Sensitive,Dusky,Dry,Junk_Food,Stable,Medium,3.549670767,0,3.121358782,3,7.868742971,,,
8250,47,Sensitive,Fair,Temperate,Vegan,PCOS,Low,0,0,0,3.6,7.867446883,,,
139,38,Sensitive,Dusky,summer,High_Sugar,PCOS,Low,3.536278732,0,5.443971594,0.9,5.829542406,,,
11565,42,Sensitive,Deep,Dry,Balanced,Pregnant,Low,0,0,4.52455354,2.1,7.865133562,,,
3387,20,Sensitive,Dusky,Temperate,High_Dairy,Pregnant,Low,0,0,4.923130837,0,7.864610792,,,
3228,26,Sensitive,Deep,winter,High_Sugar,Pregnant,Low,2.617719181,2.089799582,4.492220657,0,7.864274853,,,
141,46,Normal,Very_Fair,summer,High_Dairy,Stable,Low,0,0,0,3.3,0,,,
7379,29,Sensitive,Deep,winter,Vegan,Pregnant,Low,0,3.380651291,5.521962483,0,7.863204263,,,
144,26,Sensitive,Fair,summer,Balanced,Pregnant,High,0,0,0,0,5.37761799,,,
5032,40,Sensitive,Very_Fair,Temperate,High_Dairy,Stable,Medium,0,0,0,1.5,7.86092712,,,
7492,21,Sensitive,Fair,winter,High_Sugar,Stable,High,2.748431262,2.054123424,0,0,7.859623547,,,
146,17,Combination,Deep,summer,Vegan,Stable,Medium,0,0,3.285429129,0,0,,,
4567,22,Sensitive,Medium,winter,Vegan,PCOS,Medium,0,3.938155658,0,0,7.858490861,,,
90,49,Sensitive,Fair,Temperate,High_Dairy,Pregnant,Medium,0,0,0,4.2,7.85832628,,,
150,42,Dry,Fair,summer,Vegan,Pregnant,High,0,7.759256341,0,2.1,0,,,
3648,46,Sensitive,Dusky,Temperate,High_Sugar,Teen,Medium,6.809132398,0,4.410931577,3.3,7.855760966,,,
153,47,Dry,Medium,summer,High_Sugar,Pregnant,Medium,3.693505404,7.703944064,0,3.6,0,,,
6221,46,Sensitive,Dusky,winter,Vegan,Teen,Medium,2.154024721,2.994483004,5.844444002,3.3,7.853426763,,,
4208,30,Sensitive,Very_Fair,Temperate,High_Dairy,Teen,Low,2.670570836,0,0,0,7.852790935,,,
12018,18,Sensitive,Deep,winter,High_Sugar,PCOS,High,3.100640949,2.65808505,5.483219803,0,7.8521435,,,
156,16,Dry,Dusky,summer,Vegan,Pregnant,Medium,0,6.078053939,5.749681647,0,0,,,
5396,17,Sensitive,Dusky,Dry,Balanced,Teen,High,2.678919276,0,4.027559676,0,7.850181911,,,
10682,24,Sensitive,Fair,winter,Vegan,Stable,High,0,3.148109718,0,0,7.850153107,,,
157,40,Combination,Medium,summer,Junk_Food,Teen,Low,7.819178356,0,0,1.5,0,,,
9461,25,Sensitive,Deep,Dry,High_Dairy,Teen,High,2.903908831,0,5.171114882,0,7.847829195,,,
5427,30,Sensitive,Fair,Temperate,Vegan,Pregnant,Medium,0,0,0,0,7.847302637,,,
1262,20,Sensitive,Medium,Dry,High_Dairy,Pregnant,Medium,0,0,0,0,7.844936161,,,
11950,34,Sensitive,Fair,winter,Junk_Food,Teen,Medium,6.149362933,3.450524501,0,0,7.84379123,,,
